Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-80-AL,Terra,Não Informado,"88,8",0,"80,0812",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-83-AL,Terra,Não Informado,"1465,7",0,"157,7191",0,"106,9",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-84-AL,Terra,Não Informado,"135,5",0,"87,4032",0,"5,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-86-AL,Terra,Não Informado,0,0,3050,0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-88-AL,Terra,Não Informado,"92,1",0,"9,2036",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-92-AL,Terra,Não Informado,710,0,"186,2251",0,"15,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-93-AL,Terra,Não Informado,"148,6",0,"44,4811",0,"0,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-97-AL,Terra,Não Informado,"111,9",0,"46,575",0,"288,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-PIR-99-AL,Terra,Não Informado,"375,3",0,"37,5211",0,"37,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,7-RR-2-AL,Terra,Não Informado,"63,9",0,"15,9771",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,PILAR,8-PIR-135-AL,Terra,Não Informado,1478,0,"526,6343",0,"17,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,SUL DE CORURIPE,1-SCE-1-AL,Terra,Não Informado,420,0,39,0,72,,,,,,,,
1991,01/1991,Alagoas,Alagoas,SÃO MIGUEL DOS CAMPOS,3-SMC-5-AL,Terra,Não Informado,0,0,0,540,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,SÃO MIGUEL DOS CAMPOS,7-SMC-11-AL,Terra,Não Informado,0,0,0,1183,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,SÃO MIGUEL DOS CAMPOS,7-SMC-14D-AL,Terra,Não Informado,"120,9",0,"943,7243",0,"12,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,SÃO MIGUEL DOS CAMPOS,7-SMC-22A-AL,Terra,Não Informado,0,0,704,0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,SÃO MIGUEL DOS CAMPOS,7-SMC-39-AL,Terra,Não Informado,"592,1",0,"321,2757",0,"6,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-3-AL,Terra,Não Informado,"51,9",0,"2,4207",0,"43,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-4-AL,Terra,Não Informado,"9,6",0,"0,2835",0,"15,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-6-AL,Terra,Não Informado,"55,9",0,"2,5194",0,"77,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-9-AL,Terra,Não Informado,"8,9",0,"1,5912",0,"118,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-12-AL,Terra,Não Informado,"33,2",0,"7,8755",0,"18,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-15-AL,Terra,Não Informado,"143,3",0,"8,1143",0,"454,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-16-AL,Terra,Não Informado,"129,5",0,"7,3202",0,"11,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-18-AL,Terra,Não Informado,"52,6",0,"10,2943",0,"4,9",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-21-AL,Terra,Não Informado,22,0,"6,3646",0,"47,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-24D-AL,Terra,Não Informado,"79,3",0,"2,9701",0,"44,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-26-AL,Terra,Não Informado,"42,2",0,"1,6974",0,"9,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-30-AL,Terra,Não Informado,"30,8",0,"2,3342",0,"21,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-32-AL,Terra,Não Informado,"39,4",0,"1,3762",0,"157,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-33-AL,Terra,Não Informado,"374,1",0,"24,6845",0,"6,3",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-34-AL,Terra,Não Informado,"34,3",0,"1,5911",0,"47,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-36-AL,Terra,Não Informado,"39,5",0,"8,9099",0,"15,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-37D-AL,Terra,Não Informado,"109,2",0,"8,2746",0,"15,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-39D-AL,Terra,Não Informado,"363,9",0,"17,1057",0,"263,7",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-48-AL,Terra,Não Informado,"42,1",0,"2,7846",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-49-AL,Terra,Não Informado,"42,1",0,"4,3753",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-50D-AL,Terra,Não Informado,"59,4",0,"2,9176",0,52,,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-52-AL,Terra,Não Informado,"38,5",0,"3,6464",0,"25,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-53D-AL,Terra,Não Informado,"39,4",0,"3,713",0,"55,2",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-56D-AL,Terra,Não Informado,"72,8",0,"10,4284",0,"35,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,TABULEIRO DOS MARTINS,8-TM-47-AL,Terra,Não Informado,"10,1",0,"0,4073",0,"22,3",,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-13D-AM,Terra,Não Informado,"3027,1",0,"405,7801",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-16D-AM,Terra,Não Informado,"1981,3",0,"364,6122",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-21-AM,Terra,Não Informado,"1964,8",0,"273,1206",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-3-AM,Terra,Não Informado,"2588,8",0,"422,2179",0,97,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-4-AM,Terra,Não Informado,"347,6",0,"304,4489",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-7-AM,Terra,Não Informado,"1565,1",0,"420,7814",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-8-AM,Terra,Não Informado,"3100,1",0,"1789,1121",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,3-RUC-9D-AM,Terra,Não Informado,"1430,4",0,"824,4391",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,4-RUC-10-AM,Terra,Não Informado,"2077,9",0,"403,9738",0,"230,9",,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,4-RUC-2-AM,Terra,Não Informado,"2109,1",0,"1792,9216",0,0,,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,4-RUC-5-AM,Terra,Não Informado,2397,0,"426,0269",0,"100,1",,,,,,,,
1991,01/1991,Amazonas,Solimões,RIO URUCU,7-RUC-18D-AM,Terra,Não Informado,"840,8",0,"675,5654",0,0,,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,1-ICA-1-BA,Terra,Não Informado,"1168,6",0,"29,6822",0,"35,9",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,3-ICA-2-BA,Terra,Não Informado,"99,3",0,"2,5223",0,"27,2",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,7-ICA-10-BA,Terra,Não Informado,"114,3",0,"2,286",0,"0,2",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,7-ICA-4-BA,Terra,Não Informado,"900,5",0,"22,873",0,"7,5",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,7-ICA-5-BA,Terra,Não Informado,"54,3",0,"2,172",0,"18,3",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,7-ICA-6-BA,Terra,Não Informado,634,0,"16,1038",0,"26,5",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,7-ICA-7-BA,Terra,Não Informado,"242,9",0,"6,17",0,"32,8",,,,,,,,
1991,01/1991,Bahia,Mucuri,ILHA DA CAÇUMBA,7-ICA-9D-BA,Terra,Não Informado,"109,1",0,"2,182",0,0,,,,,,,,
1991,01/1991,Bahia,Recôncavo,APRAIÚS,3-APR-5-BA,Terra,Não Informado,204,0,"11,9114",0,0,,,,,,,,
1991,01/1991,Bahia,Recôncavo,APRAIÚS,7-APR-10-BA,Terra,Não Informado,"45,4",0,"13,0887",0,0,,,,,,,,
1991,01/1991,Bahia,Recôncavo,APRAIÚS,7-APR-9-BA,Terra,Não Informado,"527,6",0,"143,9999",0,176,,,,,,,,
1991,01/1991,Bahia,Recôncavo,ARAÇÁS,1-AR-2-BA,Terra,Não Informado,0,0,1859,0,0,,,,,,,,
1991,01/1991,Bahia,Recôncavo,ARAÇÁS,3-AR-14-BA,Terra,Não Informado,"83,2",0,"22,8761",0,0,,,,,,,,
1991,01/1991,Bahia,Recôncavo,ARAÇÁS,3-AR-20-BA,Terra,Não Informado,"221,6",0,"0,5843",0,"4210,4",,,,,,,,
